Client Table Name,Our Model Name (Animal),Our Model Name (Farm)
agi_client_agifile,AnimalRecord,Farm
agi_client_aginode,Animal,Address
agi_client_agiuserkey,AnimalIdentity,GeoPoint
arva_ci_ciscore,AnimalTag,MapFeature
arva_ci_ciscorelog,AnimalCharacteristics,GeoFeature
arva_das_component,DateConfidence,CapacityAlert
arva_das_credithistory,ParentAnimalIdentity,Capacity
arva_das_weightconfiguration,AnimalParent,Field
arva_faq_frequentlyaskedquestions,GeneticParent,ExternalIdentifier
arva_jd_jdclient,Surrogate,
arva_jd_jdfield,Parentage,
arva_jd_jdfieldoperation,ManagementGroup,
arva_jd_jdorganization,Enterprise,
arva_jd_jdtoken,AnimalState,
arva_leaf_leafclient,ConditionScore,
arva_leaf_leaffield,AnimalUnit,
arva_leaf_leaffieldoperation,WeightGain,
arva_leaf_leafuser,Weight,
arva_pipeline_arvafieldgpkg,AnimalWeightSummary,
arva_pipeline_arvagpkg,,
arva_pipeline_arvajob,,
arva_pipeline_arvapyfieldjob,,
arva_pipeline_arvapyjob,,
arva_pipeline_arvapyupload,,
arva_pipeline_mvtlayerjob,,
arva_pipeline_mvtlayerpath,,
arva_pipeline_portalpresignedurl,,
arva_pipeline_portaluploadcode,,
arva_pipeline_portaluploadcode_presigned_urls,,
arva_pipeline_upload,,
arva_pipeline_uploadmapping,,
arva_report_template_arvareporttemplate,,
auth_group,,
auth_group_permissions,,
auth_permission,,
authtoken_token,,
carbon_ready_armsoperation,,
carbon_ready_claim,,
carbon_ready_climatestack,,
carbon_ready_daycentfieldscenarios,,
carbon_ready_daycentfieldscenariosummaries,,
carbon_ready_daycentfieldscenariosummariespasture,,
carbon_ready_eaorders,,
carbon_ready_eaorders_aoi,,
carbon_ready_eaorders_fieldsupply,,
carbon_ready_eaorders_org_nodes,,
carbon_ready_easupplierallotment,,
carbon_ready_enrollment,,
carbon_ready_enrollment_fieldsupply,,
carbon_ready_enrollmentcontractformat,,
carbon_ready_enrollmentfield,,
carbon_ready_enrollmenthistory,,
carbon_ready_enrollmentloi,,
carbon_ready_enrollmentloi_fieldsupply,,
carbon_ready_fieldsupplysummary,,
carbon_ready_geoidlut,,
carbon_ready_gssurgolayer,,
